movie,year,imdb,votes
Wayne's World 2,1993,6.2,69882
Rookie of the Year,1993,6,21362
Poetic Justice,1993,6,10723
Swing Kids,1993,6.8,14450
The Joy Luck Club,1993,7.6,13813
Kalifornia,1993,6.7,46742
RoboCop 3,1993,4,41138
Short Cuts,1993,7.7,38939
Airborne,1993,6.2,5761
Searching for Bobby Fischer,1993,7.5,26658
Ninja Scroll,1993,7.9,30721
Dream Lover,1993,6.2,3623
Body Snatchers,1993,5.9,15042
My Life,1993,6.9,9593
Red Rock West,1993,7,17968
Malice,1993,6.4,20505
Arizona Dream,1993,7.4,37968
Six Degrees of Separation,1993,6.9,18295
Loaded Weapon 1,1993,6.1,41111
Little Buddha,1993,6.1,14083
The Thing Called Love,1993,6.3,6467
Return of the Living Dead III,1993,5.9,11953
Point of No Return,1993,6,22833
The House of the Spirits,1993,6.9,19041
The Vanishing,1993,6.3,21095
Beethoven's 2nd,1993,4.8,22709
Sommersby,1993,6.2,17567
Geronimo: An American Legend,1993,6.5,7713
Farewell My Concubine,1993,8.1,21383
Dragon: The Bruce Lee Story,1993,7,24796
Indian Summer,1993,6.5,4619
Cronos,1993,6.7,23782
Bad Boy Bubby,1993,7.4,11037
Fearless,1993,7.1,19527
Batman: Mask of the Phantasm,1993,7.9,37088
The Meteor Man,1993,5.1,7005
The Program,1993,6.4,8270
Rising Sun,1993,6.2,38875
Needful Things,1993,6.2,19743
Romeo Is Bleeding,1993,6.6,11976
Shadowlands,1993,7.4,15110
We're Back! A Dinosaur's Story,1993,6.1,12121
Untamed Heart,1993,6.8,11459
Heart and Souls,1993,6.9,14559
Freaked,1993,6.2,5305
Surf Ninjas,1993,5,7067
Heaven & Earth,1993,6.8,12114
For Love or Money,1993,6.1,10699
Judgment Night,1993,6.6,13738
Manhattan Murder Mystery,1993,7.4,33174
Teenage Mutant Ninja Turtles III,1993,4.8,28078
Nowhere to Run,1993,5.6,19769
M. Butterfly,1993,6.8,7732
The Visitors,1993,7,28641
Aspen Extreme,1993,5.9,2522
The Man Without a Face,1993,6.7,25544
Made in America,1993,5,14461
The Baby of Mâcon,1993,6.9,3578
Chained Heat II,1993,3.1,981
The Adventures of Huck Finn,1993,6.2,7089
Cannibal! The Musical,1993,7.2,11032
Trauma,1993,6,5604
Only the Strong,1993,6.7,4926
The Cement Garden,1993,7.2,4071
Army of One,1993,5.7,4759
Life with Mikey,1993,5.5,4929
Carnosaur,1993,3.5,3389
CB4,1993,6.2,8063
Body Melt,1993,5.1,1905
Mad Dog and Glory,1993,6.2,18940
Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,7.5,7998
Undercover Blues,1993,6,6924
A Dangerous Woman,1993,5.9,1438
Necronomicon: Book of Dead,1993,5.8,4856
Weekend at Bernie's II,1993,4.7,11566
Sonatine,1993,7.6,15554
Ed and His Dead Mother,1993,6,1636
Mi vida loca,1993,6.5,1736
The Real McCoy,1993,5.5,7549
The Dark Half,1993,5.9,14054
Once Upon a Forest,1993,6.5,4407
Matinee,1993,6.8,8213
Amos & Andrew,1993,5.6,7894
Mr. Nanny,1993,3.7,8274
Killing Zoe,1993,6.5,18586
The Wedding Banquet,1993,7.7,12453
My Boyfriend's Back,1993,5.4,3903
Man's Best Friend,1993,5.1,3502
King of the Hill,1993,7.6,6681
Beyond the Law,1993,6.6,5633
Warlock: The Armageddon,1993,5.4,4691
Fatal Instinct,1993,5.7,6185
Sugar Hill,1993,5.9,3675
Even Cowgirls Get the Blues,1993,4.3,6651
Silent Tongue,1993,5.3,965
Maniac Cop 3: Badge of Silence,1993,4.9,2900
Cop & ½,1993,3.9,7739
Wide Sargasso Sea,1993,5.7,1757
Dangerous Game,1993,5.7,3198
Son of the Pink Panther,1993,3.8,4394
A Home of Our Own,1993,7.1,2564
Mother's Boys,1993,5.4,2752
"Faraway, So Close!",1993,7.3,6693
Money for Nothing,1993,5.7,3436
Prehysteria!,1993,4.1,1434
Ticks,1993,5.4,3099
Best of the Best II,1993,5.4,4770
Flesh and Bone,1993,6.3,4500
Posse,1993,5.5,3603
Iron Monkey,1993,7.6,14485
Mr. Jones,1993,5.8,6268
Golden Balls,1993,6.2,2804
Splitting Heirs,1993,5.6,3713
A Far Off Place,1993,6.6,3077
Guilty as Sin,1993,5.6,4203
Snapdragon,1993,3.8,1123
Beach Babes from Beyond,1993,3.6,657
Godzilla vs. Mechagodzilla II,1993,6.6,3515
Sang gong lau yin,1993,5.8,29
Wittgenstein,1993,6.9,1880
Blink,1993,6.2,7128
City Hunter,1993,6.5,8689
Ethan Frome,1993,6.3,1858
Deadfall,1993,3.8,2505
Boiling Point,1993,4.9,5066
Jack the Bear,1993,6.5,3586
Emmanuelle VI,1993,3.4,299
Schramm: Into the Mind of a Serial Killer,1993,6,2289
The Trial,1993,6,1986
Bank Robber,1993,4.4,277
Mr. Wonderful,1993,5.9,2874
Baazigar,1993,7.8,22653
Doppelganger,1993,4.2,2948
Another Stakeout,1993,5.5,12148
Hard Hunted,1993,3.5,668
Beretta's Island,1993,2.9,313
The Skateboard Kid,1993,2.9,499
Who's the Man?,1993,5.4,8266
Acción mutante,1993,6.5,4380
Fire on the Amazon,1993,3.5,2273
Ghost in the Machine,1993,4.4,2990
Totally F***ed Up,1993,6.1,2353
Scorned,1993,5.3,1335
Josh and S.A.M.,1993,5.8,1300
Dragon Ball Z: Bojack Unbound,1993,7.3,4271
Fit to Kill,1993,3.6,709
The Advocate,1993,6.8,1730
House of Cards,1993,6.3,2413
Maadadayo,1993,7.4,4352
"Love, Cheat & Steal",1993,5.1,756
The Temp,1993,5.2,2745
Blue,1993,7.3,1640
Father Hood,1993,4.8,2589
Born Yesterday,1993,5.1,3475
Gunmen,1993,5.2,3010
Three of Hearts,1993,5.5,1782
Crime Story,1993,6.8,4998
Night Terrors,1993,3.4,1058
TC 2000,1993,4.5,871
Khal Nayak,1993,7.2,2523
Kreola,1993,4.2,84
Raining Stones,1993,7.4,3681
The Cool Surface,1993,4.5,1134
Fatal Past,1993,4.8,77
Monolith,1993,4.4,752
Hexed,1993,5.5,1413
Sins of Desire,1993,4.3,351
Twenty Bucks,1993,6.4,3382
Wilder Napalm,1993,5.5,1406
Ordinary Magic,1993,6.2,226
Naked in New York,1993,5.7,1441
Sunes sommar,1993,6.9,3431
Lost in Yonkers,1993,6.7,2385
Shootfighter: Fight to the Death,1993,5.5,915
Enemy Gold,1993,4.3,484
"Clean, Shaven",1993,7.1,4752
Calendar Girl,1993,5,1997
Dirty Weekend,1993,5.3,533
Robot Wars,1993,4.1,847
The Santa Clause,1994,6.4,81681
The Shawshank Redemption,1994,9.3,2028535
Pulp Fiction,1994,8.9,1583950
The Lion King,1994,8.5,802639
Forrest Gump,1994,8.8,1547915
Léon: The Professional,1994,8.6,891229
The Mask,1994,6.9,306073
Miracle on 34th Street,1994,6.5,27424
The Jungle Book,1994,6,14780
Little Women,1994,7.3,42464
True Lies,1994,7.2,214878
In the Army Now,1994,4.8,11444
Dumb and Dumber,1994,7.3,322567
Legends of the Fall,1994,7.5,129477
Four Weddings and a Funeral,1994,7.1,123022
Interview with the Vampire: The Vampire Chronicles,1994,7.6,268982
Ace Ventura: Pet Detective,1994,6.9,248597
Natural Born Killers,1994,7.3,195852
Stargate,1994,7.1,162807
"The Adventures of Priscilla, Queen of the Desert",1994,7.5,42177
The Little Rascals,1994,6.3,38948
The Crow,1994,7.6,152247
Speed,1994,7.2,295173
Heavenly Creatures,1994,7.4,55206
Clerks,1994,7.8,198380
Mixed Nuts,1994,5.4,9185
Street Fighter,1994,3.9,59349
Ri¢hie Ri¢h,1994,5.3,56838
The Ref,1994,6.9,21649
Baby's Day Out,1994,6,39791
Mary Shelley's Frankenstein,1994,6.4,47097
Clear and Present Danger,1994,6.9,79437
The Specialist,1994,5.5,57008
Little Giants,1994,6.4,22700
Beverly Hills Cop III,1994,5.5,68879
Wyatt Earp,1994,6.7,40627
The Flintstones,1994,4.8,68459
Ed Wood,1994,7.9,155090
Naked Gun 33 1/3: The Final Insult,1994,6.5,87084
Timecop,1994,5.8,50630
The Client,1994,6.7,53238
Chungking Express,1994,8.1,50621
Airheads,1994,6.1,42204
Maverick,1994,7,93061
Muriel's Wedding,1994,7.2,31625
Disclosure,1994,6.1,41456
The Pagemaster,1994,6,18602
Color of Night,1994,5.1,20851
Milk Money,1994,5.5,10445
Three Colors: Red,1994,8.1,77234
In the Mouth of Madness,1994,7.2,51836
D2: The Mighty Ducks,1994,6,32218
Sirens,1994,5.8,9165
Nell,1994,6.5,25240
Trapped in Paradise,1994,5.9,11327
Once Were Warriors,1994,7.9,28715
Texas Chainsaw Massacre: The Next Generation,1994,3.2,17499
My Father the Hero,1994,5.5,9720
Star Trek: Generations,1994,6.6,68626
The Hudsucker Proxy,1994,7.3,71559
Quiz Show,1994,7.5,59717
Only You,1994,6.5,17803
The River Wild,1994,6.4,37435
The Getaway,1994,5.7,15670
Serial Mom,1994,6.7,24099
Wolf,1994,6.2,48246
Bad Girls,1994,5.1,10719
Don Juan DeMarco,1994,6.7,45089
The Legend of Drunken Master,1994,7.6,39254
Reality Bites,1994,6.6,41062
New Nightmare,1994,6.5,45026
Blank Check,1994,5.2,16545
Greedy,1994,6.3,11650
The Last Seduction,1994,7.1,18534
Angels in the Outfield,1994,6.1,25733
"Corrina, Corrina",1994,6.5,11328
Exotica,1994,7.1,16310
Junior,1994,4.6,59701
Renaissance Man,1994,6.1,15482
Blown Away,1994,6.2,25815
Thumbelina,1994,6.4,13417
The Madness of King George,1994,7.2,13916
Cabin Boy,1994,5.2,7635
My Girl 2,1994,5.2,16721
Second Best,1994,7.1,1299
Double Dragon,1994,3.7,9756
The NeverEnding Story III,1994,3.2,9427
On Deadly Ground,1994,4.5,20303
Above the Rim,1994,6.6,12287
Of Love and Shadows,1994,5.2,1700
Shallow Grave,1994,7.3,51694
It Could Happen to You,1994,6.3,31407
Queen Margot,1994,7.5,15028
North,1994,4.4,12359
It Runs in the Family,1994,5.7,1314
No Escape,1994,6.1,17327
Exit to Eden,1994,4.1,6076
Leprechaun 2,1994,4.5,7476
The Fantastic Four,1994,3.9,4335
The Next Karate Kid,1994,4.4,22299
Ready to Wear,1994,5.1,13534
Immortal Beloved,1994,7.5,21284
Threesome,1994,6.2,11823
When a Man Loves a Woman,1994,6.6,18693
Three Colors: White,1994,7.7,53815
The Shadow,1994,6,21120
Wagons East,1994,4.8,4477
The Swan Princess,1994,6.5,20262
8 Seconds,1994,6.5,4249
Bullets Over Broadway,1994,7.5,32685
Jason's Lyric,1994,6.6,3079
Shopping,1994,5.4,2340
The Voyeur,1994,5.7,2530
Cobb,1994,6.5,6541
Camp Nowhere,1994,6,7986
Nobody's Fool,1994,7.4,16589
Getting Even with Dad,1994,4.7,6786
Pom Poko,1994,7.3,18713
A Low Down Dirty Shame,1994,5.9,5865
The War,1994,6.7,11117
With Honors,1994,6.7,12171
Surviving the Game,1994,6.1,9449
Nightwatch,1994,7.3,13754
Backbeat,1994,6.7,5261
Blue Chips,1994,6.1,10819
PCU,1994,6.6,11318
Sister My Sister,1994,6.8,2881
Il Postino: The Postman,1994,7.7,29907
A Simple Twist of Fate,1994,6.3,4645
Eat Drink Man Woman,1994,7.8,16153
Major League II,1994,5.5,22765
Fresh,1994,7.6,10847
Crooklyn,1994,6.9,7791
Cemetery Man,1994,7.2,18173
The Chase,1994,5.8,15904
Spanking the Monkey,1994,6.3,5591
Royal Deceit,1994,5.8,1820
Iron Will,1994,6.6,6462
Satantango,1994,8.5,7503
Death and the Maiden,1994,7.3,19971
Police Academy: Mission to Moscow,1994,3.4,28424
Save Me,1994,3.4,566
Death Machine,1994,5.7,3267
House Party 3,1994,4.4,4022
I.Q.,1994,6.2,21859
Andre,1994,5.7,5837
Chasers,1994,5,5090
Highlander: The Final Dimension,1994,4.4,18278
Drop Zone,1994,5.6,17650
Intersection,1994,5.3,6866
The Cowboy Way,1994,5.8,7104
Little Odessa,1994,6.8,6443
3 Ninjas Kick Back,1994,4.4,7618
Clifford,1994,5.3,6141
Brainscan,1994,6.1,9501
Black Beauty,1994,6.6,8304
Death Wish V: The Face of Death,1994,4.8,6030
Felidae,1994,7.2,3316
The Silence of the Hams,1994,4.7,4712
The Stöned Age,1994,6.3,4053
Swimming with Sharks,1994,7.1,20699
Blue Sky,1994,6.4,6097
The Road to Wellville,1994,5.8,10628
The Puppet Masters,1994,5.9,7644
Night of the Demons 2,1994,6.2,4261
A Troll in Central Park,1994,5.4,5413
Priest,1994,7.1,9027
Street Fighter II: The Animated Movie,1994,7.3,7192
Lassie,1994,5.9,4606
Dinosaur Island,1994,3.4,1290
Little Big League,1994,6.1,8777
Being Human,1994,5.4,3588
Burnt by the Sun,1994,8,12853
Blankman,1994,4.9,8497
Guarding Tess,1994,6.2,14271
Love Affair,1994,5.9,4108
Ashes of Time,1994,7.2,11655
It's Pat: The Movie,1994,2.7,9051
To Live,1994,8.3,13793
The Favor,1994,5.3,2340
The Paper,1994,6.6,11789
I Love Trouble,1994,5.3,10627
Terminal Velocity,1994,5.4,11903
Dragon Ball Z: Bio-Broly,1994,6.1,3531
Monkey Trouble,1994,5.3,5713
City Slickers II: The Legend of Curly's Gold,1994,5.5,16680
Secret Games 3,1994,4.5,433
Rapa Nui,1994,6.4,4294
Sleep with Me,1994,5.7,2320
S.F.W.,1994,5.9,4436
Raw Justice,1994,4.1,1039
Lightning Jack,1994,5.4,5899
A Chinese Torture Chamber Story,1994,5.9,1117
Farinelli,1994,6.9,5727
Guyver: Dark Hero,1994,6,2829
War of the Buttons,1994,7.5,3663
Barcelona,1994,7,5179
A Pure Formality,1994,7.8,8564
Trading Mom,1994,5.5,1549
Private Lessons: Another Story,1994,4.4,151
Sicario,1994,6.5,279
Radioland Murders,1994,6.2,3043
L'Enfer,1994,7.2,3606
Troublemakers,1994,6.1,3172
Men of War,1994,5.8,3459
Clean Slate,1994,5.7,3402
Kickboxer 4: The Aggressor,1994,4.1,2914
I Like It Like That,1994,6.8,1365
Love and a .45,1994,6,3623
Tammy and the T-Rex,1994,3.4,1183
Hellbound,1994,4.9,2703
The Air Up There,1994,5.5,7959
China Moon,1994,6.2,5133
Uncovered,1994,5.8,1926
Before the Rain,1994,8,12634
Cold Water,1994,7.1,1048
Oblivion,1994,5.2,968
The Sum of Us,1994,7.3,4746
Andaz Apna Apna,1994,8.2,44384
Pet Shop,1994,4.3,301
The Secret of Roan Inish,1994,7.5,6506
Mrs. Parker and the Vicious Circle,1994,6.4,3980
Cops and Robbersons,1994,5,5796
Godzilla vs. SpaceGodzilla,1994,5.9,3341
Through the Olive Trees,1994,7.8,4678
Princess Caraboo,1994,6,2280
Wild Reeds,1994,7.5,4676
Angie,1994,5.4,1920
Phantasm III: Lord of the Dead,1994,6.1,7154
The Browning Version,1994,7.3,2761
Teresa's Tattoo,1994,4.8,351
Fist of Legend,1994,7.6,20602
Dangerous Touch,1994,3.4,515
From Beijing with Love,1994,7.2,4447
There Goes My Baby,1994,6.5,948
Terminal Voyage,1994,4.4,253
A Good Man in Africa,1994,5.1,2149
The Inkwell,1994,6.5,1218
Vanya on 42nd Street,1994,7.4,3883
Revenge of the Musketeers,1994,5.9,2895
Holy Matrimony,1994,5.1,1170
Hail Caesar,1994,3.3,765
Squanto: A Warrior's Tale,1994,6.1,986
Speechless,1994,5.7,4502
Amateur,1994,7,5091
Frank & Jesse,1995,5.9,1269
Lady in Waiting,1994,4.3,222
Ernest Goes to School,1994,4.7,2085
The Dallas Connection,1994,4.5,534
Oleanna,1994,6.7,2706
Friday,1995,7.3,88219
Braveheart,1995,8.4,870614
Heat,1995,8.2,510629
Se7en,1995,8.6,1241118
Apollo 13,1995,7.6,239342
The Usual Suspects,1995,8.6,880401
Toy Story,1995,8.3,764295
Casino,1995,8.2,402529
Clueless,1995,6.8,150677
Die Hard with a Vengeance,1995,7.6,333842
Mortal Kombat,1995,5.8,91696
Showgirls,1995,4.7,56191
Jumanji,1995,6.9,260909
GoldenEye,1995,7.2,218885
Kids,1995,7,66337
Batman Forever,1995,5.4,215340
Twelve Monkeys,1995,8,531072
Empire Records,1995,6.7,44008
Billy Madison,1995,6.4,118593
While You Were Sleeping,1995,6.7,82119
Sense and Sensibility,1995,7.7,89585
The Bridges of Madison County,1995,7.6,63662
Waterworld,1995,6.2,162565
Casper,1995,6.1,103433
Species,1995,5.8,67882
Get Shorty,1995,6.9,69720
Bad Boys,1995,6.8,201061
Leaving Las Vegas,1995,7.5,104680
Mr. Holland's Opus,1995,7.3,32922
A Little Princess,1995,7.7,28777
Before Sunrise,1995,8.1,230447
Dangerous Minds,1995,6.5,43614
Pocahontas,1995,6.7,146369
Ghost in the Shell,1995,8,111591
The Quick and the Dead,1995,6.4,77105
Desperado,1995,7.2,156076
The Basketball Diaries,1995,7.3,91925
Hackers,1995,6.2,60555
Sabrina,1995,6.3,33260
Father of the Bride Part II,1995,6,30559
Tank Girl,1995,5.3,27674
Strange Days,1995,7.2,61325
Copycat,1995,6.6,48586
Screamers,1995,6.4,22791
Home for the Holidays,1995,6.6,10563
Tommy Boy,1995,7.1,69488
La Haine,1995,8.1,128465
Four Rooms,1995,6.7,88441
Judge Dredd,1995,5.5,100662
To Die For,1995,6.8,39111
Mallrats,1995,7.2,107397
"To Wong Foo Thanks for Everything, Julie Newmar",1995,6.5,24900
Ace Ventura: When Nature Calls,1995,6.3,183187
Babe,1995,6.8,106319
A Goofy Movie,1995,6.8,39762
Heavy Weights,1995,6.7,22389
Dolores Claiborne,1995,7.4,34159
The American President,1995,6.8,47369
Dead Man Walking,1995,7.5,81312
Dead Man,1995,7.7,81952
The Brady Bunch Movie,1995,6,18997
Congo,1995,5.1,38450
Under Siege 2: Dark Territory,1995,5.4,40355
It Takes Two,1995,5.8,17479
Balto,1995,7.1,35441
Crimson Tide,1995,7.3,91621
Outbreak,1995,6.6,99103
Now and Then,1995,6.8,23792
Mighty Morphin Power Rangers: The Movie,1995,5.2,22867
Johnny Mnemonic,1995,5.6,61212
Rob Roy,1995,6.9,37752
The Net,1995,5.9,54886
Halloween: The Curse of Michael Myers,1995,4.9,26658
Major Payne,1995,6.2,27140
Assassins,1995,6.3,71197
Rumble in the Bronx,1995,6.8,34904
The Horseman on the Roof,1995,7.1,5297
Higher Learning,1995,6.5,16404
French Kiss,1995,6.6,43107
A Walk in the Clouds,1995,6.7,28228
Lord of Illusions,1995,6.1,12992
Powder,1995,6.6,26715
Cutthroat Island,1995,5.6,23673
Nixon,1995,7.1,26565
Things to Do in Denver When You're Dead,1995,6.8,24356
First Knight,1995,5.9,62198
Waiting to Exhale,1995,5.8,8504
The Babysitter,1995,4.3,4144
Dracula: Dead and Loving It,1995,5.8,34878
The City of Lost Children,1995,7.6,60746
Welcome to the Dollhouse,1995,7.4,29494
Dead Presidents,1995,6.9,17586
Village of the Damned,1995,5.6,25629
When Night Is Falling,1995,6.6,6050
Virtuosity,1995,5.6,25883
Whisper of the Heart,1995,8,38853
The Prophecy,1995,6.5,26677
Embrace of the Vampire,1995,4.3,5437
The Indian in the Cupboard,1995,5.9,23316
Sudden Death,1995,5.7,29232
All Things Fair,1995,7,4869
Grumpier Old Men,1995,6.6,21971
The Scarlet Letter,1995,5.2,13337
Senior Trip,1995,5.6,5070
The Baby-Sitters Club,1995,5.8,4831
Total Eclipse,1995,6.6,12044
Tales from the Crypt: Demon Knight,1995,6.7,18992
Fallen Angels,1995,7.7,20463
Jade,1995,5.2,10423
Mighty Aphrodite,1995,7.1,35240
Man of the House,1995,5.1,7662
Tales from the Hood,1995,6.3,5699
Nine Months,1995,5.5,32810
Boys on the Side,1995,6.4,10892
Miami Rhapsody,1995,5.4,2928
Devil in a Blue Dress,1995,6.7,15392
Tom and Huck,1995,5.6,8771
The Cure,1995,7.7,8464
Othello,1995,6.9,8407
The Big Green,1995,5.5,8139
Live Nude Girls,1995,5.4,1581
Wild Bill,1995,5.9,5687
Safe,1995,7.2,10887
How to Make an American Quilt,1995,6.2,9772
Murder in the First,1995,7.3,24303
The Day of the Beast,1995,7.5,15331
Smoke,1995,7.4,30788
Vampire in Brooklyn,1995,4.5,19436
Richard III,1995,7.5,12679
Canadian Bacon,1995,5.9,14815
Kicking and Screaming,1995,7,8676
Ice Cream Man,1995,4.9,2261
Just Cause,1995,6.4,21986
Money Train,1995,5.6,35729
The Addiction,1995,6.4,7707
Fair Game,1995,4.2,11177
Nick of Time,1995,6.3,36079
Restoration,1995,6.6,8216
Dilwale Dulhania Le Jayenge,1995,8.2,56161
Underground,1995,8.1,50007
The Mangler,1995,4.1,7529
The Doom Generation,1995,6,12789
Free Willy 2: The Adventure Home,1995,5,15024
My Family,1995,7.3,3393
The Last Supper,1995,6.8,13303
Clockers,1995,6.9,18571
Circle of Friends,1995,6.6,7550
The Hunted,1995,6,4263
New Jersey Drive,1995,6.7,2514
I.D.,1995,7.4,5501
Candyman: Farewell to the Flesh,1995,5.3,8757
Kiss of Death,1995,5.9,15595
Last of the Dogmen,1995,7,4477
Living in Oblivion,1995,7.5,14591
Tall Tale,1995,5.9,2977
Something to Talk About,1995,5.7,11705
Memories,1995,7.6,13524
Crying Freeman,1995,6.5,10537
The Pebble and the Penguin,1995,5.6,3998
Forget Paris,1995,6.4,10383
Operation Dumbo Drop,1995,5,7775
Bye Bye Love,1995,6.1,4396
3 Ninjas Knuckle Up,1995,4.2,4814
Theodore Rex,1995,2.4,3707
Losing Isaiah,1995,6.4,4982
Hideaway,1995,5.3,5752
Children of the Corn III: Urban Harvest,1995,4.1,6050
The Brothers McMullen,1995,6.6,6895
Godzilla vs. Destoroyah,1995,6.9,4417
Bushwhacked,1995,5.5,5163
The Crossing Guard,1995,6.3,11822
An Awfully Big Adventure,1995,6,2370
The Englishman Who Went Up a Hill But Came Down a Mountain,1995,6.6,15117
Heavy,1995,6.9,4086
Friend of the Family,1995,4.9,762
Angus,1995,6.7,5924
Houseguest,1995,6,6017
Blue Juice,1995,5.3,2325
Blue in the Face,1995,6.7,8421
Gold Diggers: The Secret of Bear Mountain,1995,6,3730
Beyond the Clouds,1995,6.5,5002
The Incredibly True Adventure of Two Girls in Love,1995,6.5,3987
A Kid in King Arthur's Court,1995,4.8,5203
Jury Duty,1995,4.1,6893
Jack & Sarah,1995,6.6,4670
Black Scorpion,1995,4.8,920
Don't Die Without Telling Me Where You're Going,1995,7.1,727
Fluke,1995,6.7,5912
Rumpelstiltskin,1995,4.5,2042
Angels and Insects,1995,7,4204
The Fantasticks,1995,5.7,1062
Bikini Drive-In,1995,3.7,670
Maborosi,1995,7.6,3575
Land and Freedom,1995,7.6,9110
Payback,1995,5.9,626
The King of Paris,1995,5.6,34
Far from Home: The Adventures of Yellow Dog,1995,6.4,2305
Party Girl,1995,6.6,3978
Glory Daze,1995,5.6,3192
Sorceress,1995,3.5,757
Return to Two Moon Junction,1995,3.1,491
Coldblooded,1995,6.7,3195
Innocent Lies,1995,4.8,735
Mad Love,1995,5.3,5765
White Man's Burden,1995,5.2,4377
Fist of the North Star,1995,3.9,2826
A Fistful of Fingers,1995,6.3,523
The Amazing Panda Adventure,1995,5.8,3527
Carrington,1995,6.9,4764
Never Talk to Strangers,1995,5.2,5784
Dr. Jekyll and Ms. Hyde,1995,4.5,2487
La Cérémonie,1995,7.6,8408
Élisa,1995,6.7,1799
Jefferson in Paris,1995,5.7,2638
Iron Eagle IV,1995,3.3,1116
Jeffrey,1995,6.7,5297
A Midwinter's Tale,1995,7.3,2199
Mind Ripper,1995,4,1246
The Walking Dead,1995,4.8,686
Ulysses' Gaze,1995,7.6,5390
Delta of Venus,1995,4.5,1687
Panther,1995,6.4,2060
Piranha,1995,3.9,1617
The Passion of Darkly Noon,1995,5.9,3233
The Flower of My Secret,1995,7.1,8993
Attack of the 60 Foot Centerfold,1995,3.4,752
Beyond Rangoon,1995,6.6,4477
The Demolitionist,1995,4.3,766
The Perez Family,1995,6.1,1960
Two Much,1995,5.4,4950
A Chinese Odyssey Part One: Pandora's Box,1995,7.8,5137
Evil Ed,1995,5.5,2830
Fanny Hill,1995,3.7,121
Born to Be Wild,1995,5.1,1274
Georgia,1995,6.5,2630
Funny Bones,1995,7,3332
Above Suspicion,1995,6.8,1605
The Affair,1995,4.8,156
Three Wishes,1995,6.2,2409
Thunderbolt,1995,6.4,7349
I Like to Play Games,1995,5.4,825
Two Bits,1995,6.3,3016
Antonia's Line,1995,7.5,7571
Trilogy of Lust,1995,5.1,128
Victim of Desire,1995,4,322
Haunted,1995,6.2,5734
The Underneath,1995,6.2,2876
The Jerky Boys,1995,4.6,2293
The Grass Harp,1995,7,2876
Galaxis,1995,2.8,675
Jingle All the Way,1996,5.5,81275
Mars Attacks!,1996,6.3,192594
Romeo + Juliet,1996,6.8,190820
Fargo,1996,8.1,546260
Mission: Impossible,1996,7.1,350117
From Dusk Till Dawn,1996,7.3,253063
Matilda,1996,6.9,107073
Trainspotting,1996,8.2,575067
Independence Day,1996,7,484701
Scream,1996,7.2,255576
Jerry Maguire,1996,7.3,217415
101 Dalmatians,1996,5.7,89060
Primal Fear,1996,7.7,158080
A Time to Kill,1996,7.4,116256
The Rock,1996,7.4,287526
The English Patient,1996,7.4,162348
The Frighteners,1996,7.1,75480
Happy Gilmore,1996,7,176614
Sleepers,1996,7.6,172125
The Birdcage,1996,7,70854
The Sunchaser,1996,6.2,3356
The Long Kiss Goodnight,1996,6.8,66447
Space Jam,1996,6.4,136322
Executive Decision,1996,6.4,45771
Sling Blade,1996,8,80232
Twister,1996,6.3,159213
Striptease,1996,4.4,39151
The Craft,1996,6.3,66570
Swingers,1996,7.3,69674
The Island of Dr. Moreau,1996,4.5,28672
The First Wives Club,1996,6.3,37443
That Thing You Do!,1996,6.9,55977
Crash,1996,6.4,46962
Escape from L.A.,1996,5.7,62540
The Nutty Professor,1996,5.6,99159
Breaking the Waves,1996,7.9,55692
Kingpin,1996,6.9,70559
Fear,1996,6.2,36318
Bound,1996,7.4,46074
Stealing Beauty,1996,6.6,23207
Beautiful Girls,1996,7.2,29337
North Star,1996,4.9,1000
Hamlet,1996,7.8,33587
The Hunchback of Notre Dame,1996,6.9,122950
The People vs. Larry Flynt,1996,7.3,80444
The Crucible,1996,6.8,32597
The Cable Guy,1996,6.1,138261
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.6,43717
Freeway,1996,6.9,24350
Star Trek: First Contact,1996,7.6,108230
Bio-Dome,1996,4.4,23924
Spy Hard,1996,5.3,33402
Thinner,1996,5.7,24227
DragonHeart,1996,6.4,85094
Daylight,1996,5.9,59990
The Preacher's Wife,1996,5.5,10025
Broken Arrow,1996,6,84452
One Fine Day,1996,6.5,39915
Courage Under Fire,1996,6.6,45767
James and the Giant Peach,1996,6.7,55121
The Ghost and the Darkness,1996,6.8,51498
Eraser,1996,6.1,94901
Bottle Rocket,1996,7.1,62852
Mulholland Falls,1996,6.2,14496
Emma,1996,6.7,31943
Phenomenon,1996,6.4,69818
The Bandit,1996,8.3,53273
2 Days in the Valley,1996,6.5,17096
Set It Off,1996,6.9,12200
Barb Wire,1996,3.2,22743
The Phantom,1996,4.9,30087
Jack,1996,5.8,51651
Kama Sutra: A Tale of Love,1996,6,9201
Shine,1996,7.7,47753
Evita,1996,6.3,31727
Ransom,1996,6.6,109225
Hard Eight,1996,7.3,34530
The Arrival,1996,6.3,29081
Flipper,1996,5.2,9129
Fly Away Home,1996,6.8,21685
Secrets & Lies,1996,8,32957
Pusher,1996,7.4,30606
Down Periscope,1996,6.1,18991
D3: The Mighty Ducks,1996,5.4,21902
Marvin's Room,1996,6.7,23044
Maximum Risk,1996,5.5,18189
Last Man Standing,1996,6.4,49276
Poison Ivy II,1996,4.4,5025
Chain Reaction,1996,5.6,44414
