movie,year,imdb,votes
Snow White,1916,3,20
Oliver Twist,1916,6.6,16
The Fire,1916,7.1,82
The Iron Claw,1916,6.5,18
Her Sister's Rival,1916,6.7,342
De Voortrekkers,1916,6.5,6
The Fatal Glass of Beer,1916,5.7,12
The Trail of the Lonesome Pine,1916,7.2,10
The Vampires: The Terrible Wedding,1916,7.1,110
The Microscope Mystery,1916,4.5,6
The World and the Woman,1916,6.2,37
The Foundling,1916,5.7,9
East Lynne,1916,5.9,15
Under Two Flags,1916,6.4,9
The Valley of Decision,1916,7.2,5
The Three Musketeers,1916,5.8,24
Diane of the Follies,1916,6,47
The Children in the House,1916,6.6,555
Hulda from Holland,1916,6,8
'Til After Her Death,1916,6.6,21
Tom Brown's Schooldays,1916,6,6
Macbeth,1916,6.3,14
Tigre reale,1916,6.7,80
Going Straight,1916,6.5,597
Flirting with Fate,1916,6.4,122
Lest We Forget,1916,8.2,6
Reggie Mixes In,1916,6.5,546
Gretchen the Greenhorn,1916,6.5,467
The Captive God,1916,5.5,13
An Innocent Magdalene,1916,6.3,37
The Manxman,1916,7.8,9
The Foolish Virgin,1916,7.8,5
The Valley of Fear,1916,5.7,15
Little Mary Sunshine,1916,6.8,21
Romeo and Juliet,1916,6.6,11
The Social Secretary,1916,6.5,491
Davy Crockett,1916,5.9,7
The Heart of a Hero,1916,6.5,16
Wolo czawienko,1916,5.7,30
The Heart of Nora Flynn,1916,6,5
Madame Guillotine,1916,5.3,14
Les gaz mortels,1916,6.1,15
King Lear,1916,5.8,58
Hoffmanns Erzählungen,1916,6.4,28
Christus,1916,5.9,38
Dödskyssen,1916,6.1,180
The Innocence of Lizette,1916,5.7,9
The Flying Torpedo,1916,4.8,8
The Medic,1916,5.1,14
On the Banks of Allan Water,1916,6.7,7
The Picture of Dorian Gray,1916,6.4,18
Disraeli,1916,6.1,7
Ramona,1916,7.6,5
The Vampires: Hypnotic Eyes,1916,7,116
Betty of Greystone,1916,5.2,12
"Homunculus, 2. Teil - Das geheimnisvolle Buch",1916,7.2,19
Let Katie Do It,1916,6.3,7
Das Liebes-ABC,1916,6.3,22
Rübezahls Hochzeit,1916,5.1,20
The Black Night,1916,5,9
The Vampires: The Thunder Master,1916,7.1,111
Alsace,1916,5.3,7
The Evil Women Do,1916,4,6
Sunshine Dad,1916,5,8
To Have and to Hold,1916,7.7,10
The Lost Bridegroom,1916,8.2,9
Fifty-Fifty,1916,4.9,8
The Victoria Cross,1916,4.6,5
The Adventures of Peg o' the Ring,1916,4.3,13
The Kiss of a Vampire,1916,6.5,12
Majoor Frans,1916,4.5,6
Cleopatra,1917,6,284
The Poor Little Rich Girl,1917,6.8,1175
A Man There Was,1917,7.4,1289
The Little Princess,1917,6.6,610
The Silent Man,1917,6.7,54
Tepeyac,1917,5.3,26
Rebecca of Sunnybrook Farm,1917,7,726
Madame Du Barry,1917,6,6
The Fall of the Romanoffs,1917,7.1,11
Straight Shooting,1917,6.2,314
Bucking Broadway,1917,5.9,405
El apóstol,1917,7.2,29
Souls Triumphant,1917,7.6,20
Satan's Rhapsody,1917,7,484
The Secret Man,1917,5.2,29
